epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,217522,1.3558,2.28046,1.31405,0.0078,0.24694,0.76292,0.58794,0.67491,0.5045,0.76559,0.57372,0.65356,0.43864,1.18964,2.09351,1.05183,0.00907,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,221322,1.35084,2.27519,1.30937,0.00783,0.24649,0.76536,0.59158,0.67654,0.50586,0.77393,0.57211,0.65341,0.43923,1.18938,2.08969,1.04931,0.00905,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,225262,1.3546,2.27399,1.30538,0.00781,0.24498,0.77096,0.59338,0.67683,0.50623,0.7669,0.58105,0.65164,0.43909,1.18809,2.08765,1.04663,0.00903,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,229203,1.34749,2.26345,1.29935,0.0078,0.244,0.76844,0.59211,0.67751,0.50657,0.77232,0.57537,0.65181,0.4389,1.18713,2.0886,1.04392,0.00902,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,233062,1.34784,2.26684,1.29789,0.00775,0.24147,0.77311,0.59303,0.67897,0.50688,0.77077,0.57896,0.65442,0.44091,1.18733,2.08523,1.04232,0.00902,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,236869,1.3458,2.2595,1.29275,0.00775,0.24241,0.76721,0.59994,0.67955,0.50719,0.7785,0.5799,0.65414,0.44178,1.18609,2.0831,1.03891,0.009,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,240132,1.34482,2.25848,1.29197,0.00772,0.2403,0.77038,0.59951,0.6803,0.50757,0.77207,0.58228,0.65588,0.44185,1.18593,2.0827,1.03619,0.009,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,242605,1.33994,2.25136,1.28534,0.0077,0.23931,0.76347,0.60282,0.68044,0.50775,0.7726,0.5777,0.65599,0.44104,1.18594,2.07989,1.03619,0.00898,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,245339,1.34137,2.2512,1.2853,0.00764,0.23756,0.76729,0.59973,0.6806,0.5082,0.77034,0.58293,0.65726,0.44199,1.18561,2.07763,1.03321,0.00899,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,248470,1.33738,2.24138,1.27565,0.00768,0.23677,0.7623,0.60622,0.67977,0.50831,0.75848,0.58884,0.6567,0.44167,1.18341,2.07217,1.03413,0.00895,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,251943,1.33538,2.24103,1.27312,0.00763,0.23571,0.76287,0.60385,0.68168,0.51082,0.76106,0.58879,0.65858,0.44396,1.18235,2.07111,1.0339,0.00894,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,255410,1.33345,2.23689,1.27113,0.00759,0.23418,0.76262,0.60502,0.68358,0.51158,0.76876,0.58878,0.66062,0.44539,1.18168,2.07303,1.03316,0.00892,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,258901,1.33234,2.23837,1.26652,0.00755,0.23306,0.75462,0.61086,0.6843,0.51162,0.77608,0.58462,0.66191,0.44516,1.18108,2.07161,1.03274,0.0089,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,262497,1.32618,2.22625,1.26132,0.00754,0.23239,0.77678,0.60093,0.68505,0.51315,0.78648,0.58469,0.66311,0.44586,1.18207,2.07012,1.02807,0.0089,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
