epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,192144,1.27061,1.15809,0.00692,0.77463,0.62273,0.69348,0.52057,1.16249,1.00821,0.00861,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,194045,1.26158,1.14804,0.00686,0.78628,0.61667,0.69343,0.52012,1.16178,1.00632,0.0086,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,195937,1.26027,1.14472,0.00685,0.76526,0.62658,0.69428,0.52096,1.16076,1.00463,0.00859,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,197858,1.25746,1.13404,0.00681,0.7879,0.62095,0.69478,0.52124,1.1604,1.00539,0.00858,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,199788,1.25343,1.1291,0.00678,0.77759,0.62443,0.69473,0.52171,1.16017,1.00161,0.00857,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,201815,1.24956,1.12289,0.00673,0.78342,0.62261,0.69575,0.5225,1.15951,0.99995,0.00856,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,203843,1.24465,1.11457,0.0067,0.78108,0.6248,0.6972,0.52275,1.15955,0.99889,0.00856,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,205796,1.23757,1.10846,0.00664,0.78802,0.62357,0.6969,0.52326,1.1595,0.99635,0.00855,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,207695,1.23387,1.09717,0.00658,0.7928,0.62044,0.69665,0.52302,1.15967,0.99364,0.00855,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,209573,1.22902,1.09021,0.00656,0.7897,0.6232,0.69722,0.52273,1.15753,0.99331,0.00853,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,211450,1.22521,1.07743,0.0065,0.78438,0.6253,0.69809,0.52409,1.15637,0.99275,0.00852,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,213342,1.21987,1.06981,0.00646,0.77918,0.62727,0.69865,0.52477,1.15439,0.99246,0.00851,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,215231,1.21603,1.0621,0.00641,0.79022,0.62524,0.69976,0.52553,1.15512,0.98895,0.00851,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,217124,1.2095,1.0535,0.00637,0.78564,0.62467,0.6994,0.52618,1.15398,0.98915,0.00849,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,219174,1.20554,1.04382,0.00632,0.79015,0.62377,0.69952,0.527,1.1537,0.98737,0.00847,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,221239,1.19713,0.9642,0.00746,0.79686,0.62312,0.69948,0.52659,1.15254,0.98598,0.00846,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,223255,1.18733,0.94521,0.0073,0.80267,0.62023,0.69877,0.52623,1.15149,0.98868,0.00846,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,225296,1.18092,0.93267,0.00723,0.80004,0.61944,0.69777,0.52609,1.15048,0.98979,0.00844,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,227301,1.17354,0.91821,0.00715,0.80137,0.61823,0.69767,0.52565,1.15088,0.99074,0.00843,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,229261,1.16223,0.90288,0.00701,0.80136,0.61773,0.69827,0.52616,1.15201,0.99171,0.00845,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,231304,1.15562,0.88617,0.00692,0.79586,0.62196,0.69735,0.52476,1.15095,0.99517,0.00844,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,233354,1.14901,0.87588,0.00682,0.79764,0.62162,0.69698,0.52319,1.15039,0.99693,0.00843,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,235395,1.13935,0.86086,0.00675,0.78979,0.62347,0.69608,0.52272,1.15102,0.99926,0.00842,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,237468,1.13486,0.85202,0.00666,0.78974,0.62187,0.6939,0.5206,1.15147,1.0009,0.00842,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,239498,1.12565,0.84118,0.00656,0.78587,0.62578,0.69381,0.51977,1.15207,1.00247,0.00843,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
